Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
TM35_000101290-t36_1-p1;TM35_000101280-t36_1-p1	TM35_000101290-t36_1-p1;TM35_000101280-t36_1-p1	1;1	1;1	1;1	TM35_000101290-t36_1-p1 | transcript=TM35_000101290-t36_1 | gene=TM35_000101290 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative OSM3-like kinesin | transcript_product=putative OSM3-like kinesin | location=NBCO01000010:88183-89289(	2	1	1	1	3	3	3	41.834	368	368;819	0	9.9713	372240	2				362	2920	True	2977	3649	6890;6891	6890		
TM35_000101320-t36_1-p1	TM35_000101320-t36_1-p1	1	1	1	TM35_000101320-t36_1-p1 | transcript=TM35_000101320-t36_1 | gene=TM35_000101320 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative paraflagellar rod protein 3 | transcript_product=putative paraflagellar rod protein 3 | location=NBCO0	1	1	1	1	4.7	4.7	4.7	69.681	600	600	0	8.7299	1221600	2				363	1214	True	1230	1523	2944;2945	2944		
TM35_000101440-t36_1-p1	TM35_000101440-t36_1-p1	2	2	2	TM35_000101440-t36_1-p1 | transcript=TM35_000101440-t36_1 | gene=TM35_000101440 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative cytochrome c | transcript_product=putative cytochrome c | location=NBCO01000010:142786-143130(+) | pro	1	2	2	2	15.8	15.8	15.8	12.26	114	114	0	12.664	1213800	3				364	2419;3104	True;True	2469;3164	3018;3881	5743;7359;7360	5743;7359		
TM35_000101640-t36_1-p1	TM35_000101640-t36_1-p1	1	1	1	TM35_000101640-t36_1-p1 | transcript=TM35_000101640-t36_1 | gene=TM35_000101640 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative coenzyme Q-binding protein COQ10 B, mitochondrial-like | transcript_product=putative coenzyme Q-bindin	1	1	1	1	3.8	3.8	3.8	46.951	421	421	0	8.1323	910000	1				365	3235	True	3298	4060	7688	7688		
TM35_000101790-t36_1-p1	TM35_000101790-t36_1-p1	1	1	1	TM35_000101790-t36_1-p1 | transcript=TM35_000101790-t36_1 | gene=TM35_000101790 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=variant surface glycoprotein 3275 | transcript_product=variant surface glycoprotein 3275 | location=NBCO0100001	1	1	1	1	1.7	1.7	1.7	70.832	629	629	0.0055249	5.9139	226470	1				366	4109	True	4182	5150	9815	9815		
TM35_000101870-t36_1-p1	TM35_000101870-t36_1-p1	2	1	1	TM35_000101870-t36_1-p1 | transcript=TM35_000101870-t36_1 | gene=TM35_000101870 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=flagellar calcium-binding protein | transcript_product=flagellar calcium-binding protein | location=NBCO0100001	1	2	1	1	13.4	9.1	9.1	19.175	164	164	0	7.2642	865740	1				367	2090;2302	False;True	2117;2333	2611;2846	5042;5447	5042;5447		
TM35_000101880-t36_1-p1	TM35_000101880-t36_1-p1	2	2	1	TM35_000101880-t36_1-p1 | transcript=TM35_000101880-t36_1 | gene=TM35_000101880 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=flagellar calcium-binding protein | transcript_product=flagellar calcium-binding protein | location=NBCO0100001	1	2	2	1	14.2	14.2	11	25.111	219	219	0	17.915	2595400	5				368	1993;2090	True;True	2020;2117	2481;2482;2611	4794;4795;4796;4797;5042	4796;5042		
TM35_000101890-t36_1-p1	TM35_000101890-t36_1-p1	6	6	6	TM35_000101890-t36_1-p1 | transcript=TM35_000101890-t36_1 | gene=TM35_000101890 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=flagellar calcium-binding protein | transcript_product=flagellar calcium-binding protein | location=NBCO0100001	1	6	6	6	36.1	36.1	36.1	23.431	205	205	0	68.781	69480000	8				369	1617;1994;2089;2110;2303;2506	True;True;True;True;True;True	1637;2021;2116;2137;2334;2557	2017;2483;2610;2633;2847;3135	3874;4798;4799;5041;5089;5090;5448;5963	3874;4799;5041;5090;5448;5963		
TM35_000101910-t36_1-p1	TM35_000101910-t36_1-p1	1	1	1	TM35_000101910-t36_1-p1 | transcript=TM35_000101910-t36_1 | gene=TM35_000101910 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=amino acid transporter | transcript_product=amino acid transporter | location=NBCO01000010:288053-289504(+) | p	1	1	1	1	2.7	2.7	2.7	52.74	483	483	0	8.8072	1211400	1				370	615	True	620	756	1382	1382		
TM35_000101980-t36_1-p1	TM35_000101980-t36_1-p1	1	1	1	TM35_000101980-t36_1-p1 | transcript=TM35_000101980-t36_1 | gene=TM35_000101980 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=apurinic/apyrimidinic endonuclease | transcript_product=apurinic/apyrimidinic endonuclease | location=NBCO01000	1	1	1	1	5.7	5.7	5.7	19.414	176	176	0.0078064	5.8176	818280	1				371	3183	True	3246	3990	7562	7562		
TM35_000102060-t36_1-p1	TM35_000102060-t36_1-p1	2	2	2	TM35_000102060-t36_1-p1 | transcript=TM35_000102060-t36_1 | gene=TM35_000102060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=transaldolase | transcript_product=transaldolase | location=NBCO01000010:346894-347964(+) | protein_length=356 	1	2	2	2	5.3	5.3	5.3	39.03	356	356	0	15.406	762370	2				372	2183;2283	True;True	2212;2314	2715;2826	5223;5411	5223;5411		
TM35_000102550-t36_1-p1	TM35_000102550-t36_1-p1	1	1	1	TM35_000102550-t36_1-p1 | transcript=TM35_000102550-t36_1 | gene=TM35_000102550 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=surface protease GP63 | transcript_product=surface protease GP63 | location=NBCO01000010:477505-479421(+) | pro	1	1	1	1	5.2	5.2	5.2	71.216	638	638	0	9.9643	1284700	4				373	3687	True	3758	4636	8863;8864;8865;8866	8865		
TM35_000102910-t36_1-p1	TM35_000102910-t36_1-p1	6	4	4	TM35_000102910-t36_1-p1 | transcript=TM35_000102910-t36_1 | gene=TM35_000102910 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=titin | transcript_product=titin | location=NBCO01000010:560175-561161(+) | protein_length=328 | sequence_SO=co	1	6	4	4	31.4	26.8	26.8	33.641	328	328	0	35.506	10302000	10				374	1235;1483;1866;1977;2011;3767	False;True;True;True;False;True	1252;1502;1890;2004;2038;3838	1548;1860;2324;2325;2464;2507;4732	2992;3590;3591;3592;4483;4484;4485;4486;4487;4762;4839;4840;9026	2992;3590;4485;4762;4839;9026		
TM35_000102930-t36_1-p1	TM35_000102930-t36_1-p1	5	5	5	TM35_000102930-t36_1-p1 | transcript=TM35_000102930-t36_1 | gene=TM35_000102930 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:563429-564472(+) | prote	1	5	5	5	21.9	21.9	21.9	36.287	347	347	0	47.381	6916700	10				375	148;1095;2077;2849;3431	True;True;True;True;True	151;1109;2104;2905;3496	188;1371;1372;2591;3564;4302	347;348;2660;2661;2662;2663;2664;4996;6734;8169	348;2660;4996;6734;8169		
TM35_000102950-t36_1-p1	TM35_000102950-t36_1-p1	2	2	2	TM35_000102950-t36_1-p1 | transcript=TM35_000102950-t36_1 | gene=TM35_000102950 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:568922-569905(+) | prote	1	2	2	2	11.3	11.3	11.3	33.572	327	327	0	13.415	1879900	4				376	391;2577	True;True	395;2631	475;3224	854;855;856;6124	854;6124		
TM35_000102970-t36_1-p1	TM35_000102970-t36_1-p1	5	5	5	TM35_000102970-t36_1-p1 | transcript=TM35_000102970-t36_1 | gene=TM35_000102970 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:573569-574606(+) | prote	1	5	5	5	31.6	31.6	31.6	35.862	345	345	0	42.621	5087600	7				377	1104;1324;3250;3491;3985	True;True;True;True;True	1118;1343;3313;3557;4056	1383;1654;4076;4373;4987	2685;2686;3159;3160;7718;8314;9510	2686;3159;7718;8314;9510		
TM35_000103030-t36_1-p1	TM35_000103030-t36_1-p1	2	2	2	TM35_000103030-t36_1-p1 | transcript=TM35_000103030-t36_1 | gene=TM35_000103030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:588452-588844(+) | prote	1	2	2	2	16.8	16.8	16.8	13.88	131	131	0	14.499	6968300	7				378	2347;3336	True;True	2379;3400	2907;4183	5558;5559;7919;7920;7921;7922;7923	5559;7923		
TM35_000103040-t36_1-p1	TM35_000103040-t36_1-p1	6	4	4	TM35_000103040-t36_1-p1 | transcript=TM35_000103040-t36_1 | gene=TM35_000103040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative titin | transcript_product=putative titin | location=NBCO01000010:593005-594048(+) | protein_length=34	1	6	4	4	18.7	14.4	14.4	36.507	347	347	0	30.018	3299500	11				379	524;1235;1883;1917;2011;3367	True;False;True;True;False;True	529;1252;1907;1942;2038;3432	629;1548;2345;2387;2507;4228;4229	1160;1161;2992;4526;4610;4611;4612;4613;4614;4839;4840;7998;7999;8000	1161;2992;4526;4612;4839;7999		
TM35_000103080-t36_1-p1	TM35_000103080-t36_1-p1	2	2	2	TM35_000103080-t36_1-p1 | transcript=TM35_000103080-t36_1 | gene=TM35_000103080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:601607-602800(+) | prote	1	2	2	2	8.8	8.8	8.8	40.73	397	397	0	16.813	1357700	2				380	679;2914	True;True	686;2970	841;3641	1558;6875	1558;6875		
TM35_000103090-t36_1-p1;TM35_000561180-t36_1-p1	TM35_000103090-t36_1-p1	6;2	6;2	5;1	TM35_000103090-t36_1-p1 | transcript=TM35_000103090-t36_1 | gene=TM35_000103090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:603621-604748(+) | prote	2	6	6	5	29.6	29.6	26.1	39.144	375	375;377	0	74.454	27165000	24				381	208;855;1093;1362;1403;4012	True;True;True;True;True;True	211;864;1107;1381;1422;4084	256;1069;1070;1369;1696;1753;1754;5019;5020	479;2043;2044;2045;2046;2653;2654;2655;2656;2657;2658;3222;3223;3337;3338;3339;3340;3341;9565;9566;9567;9568;9569;9570	479;2043;2656;3223;3337;9567		
TM35_000103100-t36_1-p1	TM35_000103100-t36_1-p1	5	5	5	TM35_000103100-t36_1-p1 | transcript=TM35_000103100-t36_1 | gene=TM35_000103100 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:605912-606826(+) | prote	1	5	5	5	19.7	19.7	19.7	32.369	304	304	0	80.551	20016000	17				382	2567;2737;3581;3582;3617	True;True;True;True;True	2621;2793;3648;3649;3685	3211;3424;4501;4502;4503;4548	6097;6098;6468;6469;6470;6471;8598;8599;8600;8601;8602;8603;8604;8605;8606;8607;8708	6098;6470;8598;8607;8708		
TM35_000103110-t36_1-p1	TM35_000103110-t36_1-p1	1	1	1	TM35_000103110-t36_1-p1 | transcript=TM35_000103110-t36_1 | gene=TM35_000103110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:607766-608584(+) | prote	1	1	1	1	6.2	6.2	6.2	26.26	272	272	0	16.112	3156400	3				383	204	True	207	252	471;472;473	472		
TM35_000103150-t36_1-p1	TM35_000103150-t36_1-p1	4	4	3	TM35_000103150-t36_1-p1 | transcript=TM35_000103150-t36_1 | gene=TM35_000103150 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:615643-616509(+) | prote	1	4	4	3	27.4	27.4	22.6	29.254	288	288	0	71.998	5535800	9				384	747;808;1640;3323	True;True;True;True	755;816;1660;3387	922;998;2044;2045;4169	1697;1698;1847;1848;1849;3936;3937;7901;7902	1697;1848;3936;7902		
TM35_000103160-t36_1-p1	TM35_000103160-t36_1-p1	3	3	3	TM35_000103160-t36_1-p1 | transcript=TM35_000103160-t36_1 | gene=TM35_000103160 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000010:619147-620274(+) | prote	1	3	3	3	16.3	16.3	16.3	40.123	375	375	0	17.898	6404700	3				385	16;110;731	True;True;True	16;113;739	23;143;902	44;265;1663	44;265;1663		
TM35_000111220-t36_1-p1	TM35_000111220-t36_1-p1	5	5	5	TM35_000111220-t36_1-p1 | transcript=TM35_000111220-t36_1 | gene=TM35_000111220 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=zf-DNL-domain-containing protein | transcript_product=zf-DNL-domain-containing protein | location=NBCO01000011:	1	5	5	5	30.6	30.6	30.6	20.126	183	183	0	86.027	6495200	8				386	1513;1802;1803;2161;2512	True;True;True;True;True	1532;1825;1826;2188;2563	1892;2248;2249;2687;3141	3641;3642;4342;4343;4344;5175;5176;5970	3641;4342;4344;5175;5970		
TM35_000111300-t36_1-p1	TM35_000111300-t36_1-p1	7	7	7	TM35_000111300-t36_1-p1 | transcript=TM35_000111300-t36_1 | gene=TM35_000111300 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:63647-64324(+) | protein	1	7	7	7	42.2	42.2	42.2	25.223	225	225	0	83.209	66545000	18				387	269;270;403;916;3361;3456;3565	True;True;True;True;True;True;True	273;274;408;927;3425;3426;3521;3632	332;333;490;1146;4218;4219;4220;4221;4333;4478	600;601;602;885;886;2193;7979;7980;7981;7982;7983;7984;8233;8234;8235;8540;8541;8542	600;602;886;2193;7982;8234;8540	50	106
TM35_000111450-t36_1-p1	TM35_000111450-t36_1-p1	4	4	4	TM35_000111450-t36_1-p1 | transcript=TM35_000111450-t36_1 | gene=TM35_000111450 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=P28 protein | transcript_product=P28 protein | location=NBCO01000011:95128-95964(+) | protein_length=278 | sequ	1	4	4	4	17.6	17.6	17.6	30.155	278	278	0	28.433	3983800	4				388	1525;3139;3327;4131	True;True;True;True	1544;3201;3391;4204	1905;3938;4173;5173	3659;7464;7907;9855	3659;7464;7907;9855		
TM35_000111650-t36_1-p1	TM35_000111650-t36_1-p1	1	1	1	TM35_000111650-t36_1-p1 | transcript=TM35_000111650-t36_1 | gene=TM35_000111650 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=CCR4-NOT transcription complex subunit 3 | transcript_product=CCR4-NOT transcription complex subunit 3 | locati	1	1	1	1	2.4	2.4	2.4	72.938	660	660	0	8.1865	539360	2				389	957	True	968	1195	2312;2313	2312		
TM35_000111670-t36_1-p1	TM35_000111670-t36_1-p1	5	5	5	TM35_000111670-t36_1-p1 | transcript=TM35_000111670-t36_1 | gene=TM35_000111670 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:155604-157364(+) | prote	1	5	5	5	12.3	12.3	12.3	66.742	587	587	0	43.17	6452600	10				390	159;653;933;3281;4089	True;True;True;True;True	162;659;944;3344;4162	201;806;1167;4118;5117;5118	374;375;1465;1466;2239;2240;2241;7810;9740;9741	375;1465;2240;7810;9741		
TM35_000111810-t36_1-p1	TM35_000111810-t36_1-p1	1	1	1	TM35_000111810-t36_1-p1 | transcript=TM35_000111810-t36_1 | gene=TM35_000111810 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=pyruvate dehydrogenase E1 beta subunit | transcript_product=pyruvate dehydrogenase E1 beta subunit | location=N	1	1	1	1	3.2	3.2	3.2	37.714	347	347	0	9.7617	308010	1				391	985	True	997	1227	2374	2374		
TM35_000112180-t36_1-p1	TM35_000112180-t36_1-p1	1	1	1	TM35_000112180-t36_1-p1 | transcript=TM35_000112180-t36_1 | gene=TM35_000112180 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=flagellar associated protein | transcript_product=flagellar associated protein | location=NBCO01000011:280398-2	1	1	1	1	1.7	1.7	1.7	67.764	630	630	0.0092308	5.6986	4933200	1				392	1834	True	1858	2285	4408	4408		
TM35_000112240-t36_1-p1	TM35_000112240-t36_1-p1	1	1	1	TM35_000112240-t36_1-p1 | transcript=TM35_000112240-t36_1 | gene=TM35_000112240 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:295609-296100(-) | prote	1	1	1	1	6.1	6.1	6.1	18.708	163	163	0	7.4496	957270	2				393	1278	True	1296	1601	3076;3077	3076		
TM35_000112570-t36_1-p1	TM35_000112570-t36_1-p1	2	2	2	TM35_000112570-t36_1-p1 | transcript=TM35_000112570-t36_1 | gene=TM35_000112570 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=mitochondrial RNA-binding protein | transcript_product=mitochondrial RNA-binding protein | location=NBCO0100001	1	2	2	2	16.5	16.5	16.5	14.592	139	139	0	13.993	1454800	4				394	155;1447	True;True	158;1466	196;1810	364;365;3466;3467	364;3466		
TM35_000112610-t36_1-p1	TM35_000112610-t36_1-p1	1	1	1	TM35_000112610-t36_1-p1 | transcript=TM35_000112610-t36_1 | gene=TM35_000112610 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=calmodulin | transcript_product=calmodulin | location=NBCO01000011:366692-367156(-) | protein_length=154 | sequ	1	1	1	1	7.1	7.1	7.1	17.855	154	154	0	8.128	3687100	1				395	3929	True	4000	4920	9382	9382		
TM35_000112710-t36_1-p1	TM35_000112710-t36_1-p1	2	2	2	TM35_000112710-t36_1-p1 | transcript=TM35_000112710-t36_1 | gene=TM35_000112710 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=U3 small nucleolar RNA-associated protein 3 | transcript_product=U3 small nucleolar RNA-associated protein 3 | 	1	2	2	2	6.5	6.5	6.5	59.908	524	524	0	27.64	1043800	2				396	2304;3353	True;True	2335;3417	2848;4210	5449;7965	5449;7965		
TM35_000112830-t36_1-p1	TM35_000112830-t36_1-p1	1	1	1	TM35_000112830-t36_1-p1 | transcript=TM35_000112830-t36_1 | gene=TM35_000112830 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:418721-420640(+) | prote	1	1	1	1	1.3	1.3	1.3	72.446	639	639	0.0092521	5.7078	796840	1				397	1331	True	1350	1662	3170	3170		
TM35_000112940-t36_1-p1	TM35_000112940-t36_1-p1	1	1	1	TM35_000112940-t36_1-p1 | transcript=TM35_000112940-t36_1 | gene=TM35_000112940 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:446531-447250(+) | prote	1	1	1	1	3.8	3.8	3.8	25.92	239	239	0	6.7548	5714700	3				398	3365	True	3430	4226	7993;7994;7995	7995		
TM35_000113050-t36_1-p1;TM35_000112990-t36_1-p1	TM35_000113050-t36_1-p1;TM35_000112990-t36_1-p1	4;4	4;4	4;4	TM35_000113050-t36_1-p1 | transcript=TM35_000113050-t36_1 | gene=TM35_000113050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:474463-475236(+) | prote	2	4	4	4	26.8	26.8	26.8	26.928	257	257;257	0	54.746	8932500	13				399	1090;1553;1905;3201	True;True;True;True	1104;1572;1929;3264	1365;1939;1940;2369;2370;4016;4017	2642;2643;2644;2645;3716;3717;4567;4568;4569;4570;4571;7604;7605	2643;3716;4569;7604		
TM35_000113020-t36_1-p1	TM35_000113020-t36_1-p1	2	2	2	TM35_000113020-t36_1-p1 | transcript=TM35_000113020-t36_1 | gene=TM35_000113020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:462656-463771(+) | prote	1	2	2	2	8.1	8.1	8.1	38.4	371	371	0	17.554	3140700	2				400	1358;3216	True;True	1377;3279	1692;4035	3218;7639	3218;7639		
TM35_000113030-t36_1-p1	TM35_000113030-t36_1-p1	5	5	5	TM35_000113030-t36_1-p1 | transcript=TM35_000113030-t36_1 | gene=TM35_000113030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:464458-465381(+) | prote	1	5	5	5	31.9	31.9	31.9	31.258	307	307	0	61.078	40452000	24				401	199;1154;1155;1730;2240	True;True;True;True;True	202;1169;1170;1750;2270;2271	247;1439;1440;1441;2144;2145;2775;2776;2777	462;463;464;2789;2790;2791;2792;2793;2794;2795;2796;2797;2798;2799;4123;4124;4125;5313;5314;5315;5316;5317;5318;5319	464;2790;2793;4123;5316	51	135
TM35_000113060-t36_1-p1	TM35_000113060-t36_1-p1	1	1	1	TM35_000113060-t36_1-p1 | transcript=TM35_000113060-t36_1 | gene=TM35_000113060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:479645-481063(+) | prote	1	1	1	1	3.2	3.2	3.2	48.837	472	472	0	6.3103	0	1				402	620	True	626	762	1392	1392		
TM35_000113190-t36_1-p1	TM35_000113190-t36_1-p1	9	9	9	TM35_000113190-t36_1-p1 | transcript=TM35_000113190-t36_1 | gene=TM35_000113190 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:508623-509345(+) | prote	1	9	9	9	50	50	50	25.87	240	240	0	84.468	31565000	22				403	381;383;441;835;1008;2062;2191;3477;4126	True;True;True;True;True;True;True;True;True	385;387;446;843;1021;2089;2220;3542;4199	463;464;466;531;1040;1041;1257;1258;2573;2574;2723;4358;5168	835;836;837;839;840;958;959;960;1968;1969;2425;2426;2427;2428;2429;4968;4969;4970;5240;5241;8285;9844	837;840;960;1968;2427;4970;5240;8285;9844		
